id,transaction_id,address_id,match_type,confidence_score,matched_at
150,none-30-devoe-street-unit-2b-brooklyn-ny-11211-0,5016,phonetic,0.6,2025-05-05T21:24:21.516978
151,none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211-0,8386,phonetic,0.6,2025-05-05T21:24:21.518697
152,none-207-north-8th-street-unit-ph-brooklyn-ny-11211-0,264,phonetic,0.6,2025-05-05T21:24:21.520307
153,none-150-north-5th-street-unit-1h-brooklyn-ny-11211-0,1845,phonetic,0.6,2025-05-05T21:24:21.522211
154,none-308-north-7th-street-unit-phb-brooklyn-ny-11211,873,phonetic,0.6,2025-05-05T21:24:21.523896
155,none-25-conselyea-street-unit-2-brooklyn-ny-11211,26252,phonetic,0.6,2025-05-05T21:24:21.526193
156,none-234-powers-street-unit-6-williamsburg-ny-11211,8940,phonetic,0.6,2025-05-05T21:24:21.531042
157,none-76-richardson-street-unit-7-brooklyn-ny-11211,67,phonetic,0.6,2025-05-05T21:24:21.532663
158,none-38-skillman-avenue-unit-1-brooklyn-ny-11211,26699,phonetic,0.6,2025-05-05T21:24:21.534977
159,none-230-south-2nd-street-none-williamsburg-ny-11211,9922,phonetic,0.6,2025-05-05T21:24:21.542064
160,none-156-devoe-street-unit-1f-brooklyn-ny-11211,409,phonetic,0.6,2025-05-05T21:24:21.543895
161,none-170-south-1st-street-unit-2b-brooklyn-ny-11211,1258,phonetic,0.6,2025-05-05T21:24:21.545672
162,none-174-north-6th-street-unit-town-brooklyn-ny-11211,1781,phonetic,0.6,2025-05-05T21:24:21.547404
163,none-128-woodpoint-road-unit-1-brooklyn-ny-11211,3958,phonetic,0.6,2025-05-05T21:24:21.554351
164,none-30-devoe-street-unit-2b-brooklyn-ny-11211,5016,phonetic,0.6,2025-05-05T21:24:21.556495
165,none-240-powers-street-unit-6-brooklyn-ny-11211,593,phonetic,0.6,2025-05-05T21:24:21.558251
166,none-40-skillman-avenue-unit-3b-brooklyn-ny-11211-0,7148,phonetic,0.6,2025-05-05T21:24:21.559920
167,none-526-union-avenue-unit-206-brooklyn-ny-11211-0,3419,phonetic,0.6,2025-05-05T21:24:21.561517
168,none-550-metropolitan-avenue-unit-comm-brooklyn-ny-11211-0,1902,phonetic,0.6,2025-05-05T21:24:21.563163
169,none-710-metropolitan-avenue-unit-5h-brooklyn-ny-11211,1464,phonetic,0.6,2025-05-05T21:24:21.564812
170,none-171-north-1st-street-unit-4k-brooklyn-ny-11211,45,phonetic,0.6,2025-05-05T21:24:21.572790
171,none-38-skillman-avenue-unit-1-brooklyn-ny-11211-0,26699,phonetic,0.6,2025-05-05T21:24:21.575405
172,none-96-woodpoint-road-unit-2c-brooklyn-ny-11211-0,9722,phonetic,0.6,2025-05-05T21:24:21.577652
173,none-72-richardson-street-unit-19-brooklyn-ny-11211-0,246,phonetic,0.6,2025-05-05T21:24:21.582768
174,none-135-jackson-street-unit-1b-brooklyn-ny-11211-0,5029,phonetic,0.6,2025-05-05T21:24:21.587995
175,none-684-lorimer-street-none-brooklyn-ny-11211-0,12139,phonetic,0.6,2025-05-05T21:24:21.589697
176,none-25-conselyea-street-unit-1-brooklyn-ny-11211,26252,phonetic,0.6,2025-05-05T21:24:21.592046
177,none-550-metropolitan-avenue-unit-comm-brooklyn-ny-11211,1902,phonetic,0.6,2025-05-05T21:24:21.593736
178,none-415-bedford-avenue-unit-23a-brooklyn-ny-11211,2772,phonetic,0.6,2025-05-05T21:24:21.598424
179,none-88-withers-street-unit-7d-brooklyn-ny-11211,537,phonetic,0.6,2025-05-05T21:24:21.600059
180,none-171-north-1st-street-unit-3k-brooklyn-ny-11211,45,phonetic,0.6,2025-05-05T21:24:21.601742
181,none-980-metropolitan-avenue-none-williamsburg-ny-11211,16946,phonetic,0.6,2025-05-05T21:24:21.603386
182,none-72-richardson-street-unit-19-brooklyn-ny-11211,246,phonetic,0.6,2025-05-05T21:24:21.605007
183,none-526-union-avenue-unit-206-brooklyn-ny-11211,3419,phonetic,0.6,2025-05-05T21:24:21.606637
184,none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211,22585,phonetic,0.6,2025-05-05T21:24:21.608390
185,none-224-north-6th-street-unit-3-brooklyn-ny-11211,3190,phonetic,0.6,2025-05-05T21:24:21.610186
186,none-170-south-1st-street-unit-2b-brooklyn-ny-11211-0,1258,phonetic,0.6,2025-05-05T21:24:21.611962
187,none-237-devoe-street-unit-1r-brooklyn-ny-11211-0,1985,phonetic,0.6,2025-05-05T21:24:21.613708
188,none-156-devoe-street-unit-1f-brooklyn-ny-11211-0,409,phonetic,0.6,2025-05-05T21:24:21.615561
189,none-100-maspeth-avenue-unit-7c-brooklyn-ny-11211,6,phonetic,0.6,2025-05-05T21:24:21.617286
190,none-170-north-11th-street-unit-3a-brooklyn-ny-11211,1281,phonetic,0.6,2025-05-05T21:24:21.619039
191,none-171-north-1st-street-unit-1a-brooklyn-ny-11211,45,phonetic,0.6,2025-05-05T21:24:21.620734
192,none-171-north-1st-street-unit-6d-brooklyn-ny-11211,45,phonetic,0.6,2025-05-05T21:24:21.622428
193,none-224-north-6th-street-unit-3-brooklyn-ny-11211-0,3190,phonetic,0.6,2025-05-05T21:24:21.624217
194,none-240-powers-street-unit-6-brooklyn-ny-11211-0,593,phonetic,0.6,2025-05-05T21:24:21.625957
195,none-139-jackson-street-unit-1b-brooklyn-ny-11211,5549,phonetic,0.6,2025-05-05T21:24:21.628027
196,none-532-lorimer-street-unit-1b-williamsburg-ny-11211-0,4391,phonetic,0.6,2025-05-05T21:24:21.631919
197,none-230-south-2nd-street-none-williamsburg-ny-11211-0,9922,phonetic,0.6,2025-05-05T21:24:21.633838
198,none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211-0,22585,phonetic,0.6,2025-05-05T21:24:21.635568
199,none-153-south-4th-street-unit-5-brooklyn-ny-11211,1154,phonetic,0.6,2025-05-05T21:24:21.637254
200,none-80-roebling-street-unit-1-brooklyn-ny-11211-0,632,phonetic,0.6,2025-05-05T21:24:21.647140
201,none-224-north-6th-street-unit-1-brooklyn-ny-11211,3190,phonetic,0.6,2025-05-05T21:24:21.654169
202,none-150-richardson-street-unit-2a-brooklyn-ny-11211,5304,phonetic,0.6,2025-05-05T21:24:21.658795
203,none-179-jackson-street-unit-3a-brooklyn-ny-11211,17426,phonetic,0.6,2025-05-05T21:24:21.667216
